代码,名称,层,买入日,卖出日,收益%,卖出原因
603809,豪能股份,核心,2019-05-10,2019-05-13,0.26,连续500交易日无分红
600516,方大炭素,卫星,2019-05-13,2019-05-14,-2.86,连续500交易日无分红
603809,豪能股份,核心,2019-05-14,2019-05-15,2.17,连续500交易日无分红
600516,方大炭素,卫星,2019-05-15,2019-05-16,-0.52,连续500交易日无分红
603809,豪能股份,核心,2019-05-16,2019-05-17,-0.3,连续500交易日无分红
600516,方大炭素,卫星,2019-05-17,2019-05-20,-5.26,连续500交易日无分红
603809,豪能股份,核心,2019-05-20,2019-05-21,1.25,连续500交易日无分红
600516,方大炭素,卫星,2019-05-21,2019-05-22,1.31,连续500交易日无分红
603809,豪能股份,核心,2019-05-22,2019-05-23,-1.51,连续500交易日无分红
603809,豪能股份,卫星,2019-05-24,2019-05-27,0.34,连续500交易日无分红
600507,方大特钢,核心,2019-05-09,2020-05-11,-25.27,息率跌破3.0%
002110,三钢闽光,核心,2019-05-23,2020-05-25,-31.31,息率跌破3.0%
002884,凌霄泵业,核心,2019-05-27,2020-05-26,23.93,息率跌破3.0%
603809,豪能股份,核心,2019-05-28,2020-05-28,4.45,息率跌破3.0%
600738,丽尚国潮,核心,2019-03-14,2020-12-10,9.04,息率跌破3.0%
600603,广汇物流,核心,2020-05-26,2021-04-23,3.99,息率跌破3.0%
600295,鄂尔多斯,核心,2020-05-27,2021-05-27,167.41,息率跌破3.0%
601003,柳钢股份,核心,2020-05-29,2021-05-31,52.51,息率跌破3.0%
600188,兖矿能源,核心,2020-05-12,2021-07-08,81.3,息率跌破3.0%
601126,四方股份,卫星,2021-06-01,2022-05-05,64.75,息率跌破3.5%
002775,文科股份,核心,2021-05-28,2022-05-18,-3.94,息率跌破3.0%
000863,三湘印象,核心,2021-07-09,2022-07-01,16.84,息率跌破3.0%
600729,重百集团,核心,2022-05-06,2023-05-16,23.08,息率跌破3.0%
603871,嘉友国际,核心,2020-12-11,2023-06-12,84.06,息率跌破3.0%
600295,鄂尔多斯,卫星,2023-06-13,2023-06-14,-1.03,息率跌破3.5%
600507,方大特钢,卫星,2023-06-15,2023-06-16,-0.51,息率跌破3.5%
000761,本钢板材,核心,2022-07-04,2023-06-19,14.87,息率跌破3.0%
603565,中谷物流,核心,2022-05-19,2023-08-31,-4.24,息率跌破3.0%
601699,潞安环能,核心,2023-06-19,2024-06-12,28.48,息率跌破3.0%
002030,达安基因,卫星,2024-06-13,2024-06-14,-2.63,息率跌破3.5%
600123,兰花科创,核心,2023-06-20,2025-02-11,-0.6,息率跌破3.0%
603688,石英股份,卫星,2024-06-17,2025-05-23,-12.75,息率跌破3.5%
002303,美盈森,卫星,2025-02-12,2025-11-24,26.29,息率跌破3.5%
600971,恒源煤电,卫星,2025-05-26,2026-04-27,19.37,息率跌破3.5%
600681,百川能源,核心,2021-04-26,2026-05-28,3.27,息率跌破3.0%
600188,兖矿能源,核心,2023-09-01,2026-06-04,113.83,息率跌破3.0%
002271,东方雨虹,核心,2025-11-25,2026-08-28,-13.38,息率跌破3.0%
603508,思维列控,核心,2026-04-28,2026-09-10,-8.82,息率跌破3.0%
