信号日,名称,买入价,股数,买入金额,卖出日,卖出时点,卖出价,卖出原因,单笔盈亏%,净盈亏元
2026-01-07,展鹏科技,8.7,3800,33060,2026-01-09,次日早盘9:30,10.52,又涨停→隔夜次早兑现,20.92,6861
2026-01-12,天娱数科,8.08,4400,35552,2026-01-13,尾盘14:50,7.74,没涨停→尾盘兑现,-4.21,-1548
2026-01-13,东南网架,5.62222497,6200,34858,2026-01-14,尾盘14:50,5.4,没涨停→尾盘兑现,-3.91,-1413
2026-01-19,许继电气,32.179,1000,32179,2026-01-20,尾盘14:50,32.67,没涨停→尾盘兑现,1.52,441
2026-01-28,中金岭南,8.525,4000,34100,2026-01-29,尾盘14:50,8.49,没涨停→尾盘兑现,-0.35,-171
2026-01-30,实益达,10.08257718,3400,34281,2026-02-02,尾盘14:50,9.66,没涨停→尾盘兑现,-4.14,-1470
2026-01-30,敦煌种业,7.92,2900,22968,2026-02-02,尾盘14:50,7.46,没涨停→尾盘兑现,-5.81,-1367
2026-02-03,银轮股份,39.162,800,31330,2026-02-05,次日早盘9:30,43.48,又涨停→隔夜次早兑现,11.03,3406
2026-02-09,红太阳,6.72,5200,34944,2026-02-10,尾盘14:50,6.41,没涨停→尾盘兑现,-4.61,-1663
2026-02-10,儒意电影,13.87,2400,33288,2026-02-11,尾盘14:50,12.48,没涨停→尾盘兑现,-10.02,-3383
2026-02-11,卓郎智能,2.98,11100,33078,2026-02-13,次日早盘9:30,3.23,又涨停→隔夜次早兑现,8.39,2723
2026-03-23,浙江新能,10.72377108,3100,33244,2026-03-25,次日早盘9:30,11.61,又涨停→隔夜次早兑现,8.27,2698
2026-03-24,福晶科技,64.70551384,300,19412,2026-03-25,尾盘14:50,67.26,没涨停→尾盘兑现,3.95,737
2026-03-26,新宝股份,14.39888898,2400,34557,2026-03-27,尾盘14:50,14.51,没涨停→尾盘兑现,0.74,205
2026-04-10,隆基机械,8.57077185,4100,35140,2026-04-13,尾盘14:50,8.33,没涨停→尾盘兑现,-2.77,-1025
2026-04-14,南山控股,2.74,12800,35072,2026-04-15,尾盘14:50,2.69,没涨停→尾盘兑现,-1.82,-692
2026-04-20,九阳股份,11.1,3100,34410,2026-04-21,尾盘14:50,10.54,没涨停→尾盘兑现,-5.05,-1786
2026-04-22,中新集团,10.04841888,3400,34165,2026-04-24,次日早盘9:30,10.52,又涨停→隔夜次早兑现,4.65,1537
2026-05-15,方正电机,15.36,2200,33792,2026-05-18,尾盘14:50,16.16,没涨停→尾盘兑现,5.21,1708
2026-05-18,泰永长征,21.56,1600,34496,2026-05-19,尾盘14:50,22.7,没涨停→尾盘兑现,5.29,1771
2026-05-21,派林生物,11.55,3100,35805,2026-05-22,次日早盘9:30,11.49,又涨停→隔夜次早兑现,-0.52,-240
2026-06-04,振华科技,58.90621752,600,35344,2026-06-05,尾盘14:50,55.69,没涨停→尾盘兑现,-5.46,-1982
2026-06-04,朝阳科技,28.95,800,23160,2026-06-05,尾盘14:50,27.99,没涨停→尾盘兑现,-3.32,-802
2026-06-09,宁波华翔,29.25,1100,32175,2026-06-10,尾盘14:50,28.54,没涨停→尾盘兑现,-2.43,-829
2026-06-15,中鼎股份,22.35,1500,33525,2026-06-16,尾盘14:50,22.35,没涨停→尾盘兑现,0.0,-50
2026-06-17,远望谷,6.247,5500,34358,2026-06-18,尾盘14:50,6.08,没涨停→尾盘兑现,-2.72,-986
2026-06-18,天目药业,17.96,1900,34124,2026-06-22,尾盘14:50,18.34,没涨停→尾盘兑现,2.12,670
2026-06-22,东方电子,14.1,2400,33840,2026-06-23,尾盘14:50,14.0,没涨停→尾盘兑现,-0.71,-291
2026-06-22,利尔化学,14.23,1600,22768,2026-06-23,尾盘14:50,13.64,没涨停→尾盘兑现,-4.15,-977
2026-06-25,尖峰集团,7.57288704,4500,34078,2026-06-26,尾盘14:50,7.25,没涨停→尾盘兑现,-4.3,-1514
2026-07-03,信立泰,40.08,800,32064,2026-07-06,尾盘14:50,39.83,没涨停→尾盘兑现,-0.62,-248
2026-07-13,九芝堂,8.98,3700,33226,2026-07-14,尾盘14:50,9.47,没涨停→尾盘兑现,5.46,1762
2026-07-14,天桥起重,3.15,10800,34020,2026-07-15,尾盘14:50,3.21,没涨停→尾盘兑现,1.9,596
2026-07-16,鹭燕医药,12.3,2800,34440,2026-07-17,尾盘14:50,11.07,没涨停→尾盘兑现,-10.0,-3493
2026-07-24,中光学,19.1,1700,32470,2026-07-27,尾盘14:50,20.0,没涨停→尾盘兑现,4.71,1480
2026-07-27,登康口腔,31.42,1000,31420,2026-07-28,尾盘14:50,31.82,没涨停→尾盘兑现,1.27,353
2026-08-05,福晶科技,58.21,500,29105,2026-08-06,尾盘14:50,59.55,没涨停→尾盘兑现,2.3,626
2026-08-20,红棉股份,3.53,9600,33888,2026-08-21,尾盘14:50,3.18,没涨停→尾盘兑现,-9.92,-3408
2026-08-21,沃特股份,21.24,1500,31860,2026-08-24,尾盘14:50,20.48,没涨停→尾盘兑现,-3.58,-1187
2026-08-28,渝三峡A,6.62,4900,32438,2026-08-31,尾盘14:50,6.48,没涨停→尾盘兑现,-2.11,-734
2026-09-08,世联行,2.6,12400,32240,2026-09-09,尾盘14:50,2.45,没涨停→尾盘兑现,-5.77,-1907
