信号日,代码,名称,板块,买入价,卖出日,卖出价,收益%,持有交易日,卖出方式,当时周期
2019-05-28,002510,天汽模,C36汽车制造业,4.32287604,2019-05-29,4.22,-2.42,1,没涨停→尾盘卖,平淡期
2019-05-28,603936,博敏电子,C39计算机、通信和其他电子设备制造业,9.20156523,2019-05-29,9.46,2.62,1,没涨停→尾盘卖,平淡期
2019-05-31,002310,东方新能,D44电力、热力生产和供应业,5.47577231,2019-06-03,5.84,6.49,1,没涨停→尾盘卖,妖股期
2019-06-05,600251,冠农股份,C13农副食品加工业,5.80927436,2019-06-06,5.63,-3.22,1,没涨停→尾盘卖,平淡期
2019-06-05,601952,苏垦农发,C13农副食品加工业,6.80108275,2019-06-06,6.78,-0.4,1,没涨停→尾盘卖,平淡期
2019-06-10,002782,可立克,C39计算机、通信和其他电子设备制造业,12.6319656,2019-06-11,13.1,3.58,1,没涨停→尾盘卖,平淡期
2019-06-10,600363,联创光电,C39计算机、通信和其他电子设备制造业,10.47276048,2019-06-11,10.81,3.05,1,没涨停→尾盘卖,平淡期
2019-06-10,600707,彩虹股份,C39计算机、通信和其他电子设备制造业,5.04376782,2019-06-11,5.29,4.78,1,没涨停→尾盘卖,平淡期
2019-06-11,000727,冠捷科技,C39计算机、通信和其他电子设备制造业,2.12,2019-06-12,2.19,3.15,1,没涨停→尾盘卖,妖股期
2019-06-11,002945,华林证券,J67资本市场服务,14.71462656,2019-06-12,15.37,4.29,1,没涨停→尾盘卖,妖股期
2019-06-11,600330,天通股份,C39计算机、通信和其他电子设备制造业,8.5242794,2019-06-12,8.28,-2.98,1,没涨停→尾盘卖,妖股期
2019-06-12,000587,*ST金洲,,2.29,2019-06-14,2.67,16.44,2,再涨停→次日早盘卖,平淡期
2019-06-13,600069,退市银鸽,,2.54,2019-06-14,2.33,-8.42,1,没涨停→尾盘卖,妖股期
2019-06-13,000912,泸天化,C26化学原料和化学制品制造业,4.91,2019-06-17,5.67,15.33,2,再涨停→次日早盘卖,妖股期
2019-06-19,002036,联创电子,C39计算机、通信和其他电子设备制造业,6.55599026,2019-06-20,6.76,2.9,1,没涨停→尾盘卖,妖股期
2019-06-19,601200,上海环境,N77生态保护和环境治理业,8.97649209,2019-06-21,10.86,20.87,2,再涨停→次日早盘卖,妖股期
2019-06-20,000563,陕国投A,J69其他金融业,4.0457508,2019-06-21,4.24,4.71,1,没涨停→尾盘卖,妖股期
2019-06-20,002009,天奇股份,C35专用设备制造业,9.25241772,2019-06-21,9.54,2.94,1,没涨停→尾盘卖,妖股期
2019-06-24,603789,ST星农,C35专用设备制造业,16.58,2019-06-25,16.85,1.48,1,没涨停→尾盘卖,平淡期
2019-06-26,603111,康尼机电,C37铁路、船舶、航空航天和其他运输设备制造业,4.6105072,2019-06-27,4.5,-2.46,1,没涨停→尾盘卖,平淡期
2019-06-27,002313,日海智能,C39计算机、通信和其他电子设备制造业,19.76,2019-06-28,20.2,2.08,1,没涨停→尾盘卖,平淡期
2019-06-27,002916,深南电路,C39计算机、通信和其他电子设备制造业,51.50845725,2019-06-28,52.29,1.29,1,再涨停→次日早盘卖,平淡期
2019-06-27,603228,景旺电子,C39计算机、通信和其他电子设备制造业,26.12142716,2019-06-28,25.75,-1.55,1,没涨停→尾盘卖,平淡期
2019-07-01,002483,润邦股份,C34通用设备制造业,3.9875238,2019-07-02,3.84,-3.85,1,没涨停→尾盘卖,主线期
2019-07-01,600602,云赛智联,I65软件和信息技术服务业,8.09068528,2019-07-02,8.34,2.93,1,没涨停→尾盘卖,主线期
2019-07-01,603019,中科曙光,C39计算机、通信和其他电子设备制造业,26.63692317,2019-07-02,25.56,-4.19,1,没涨停→尾盘卖,主线期
2019-07-04,603366,日出东方,C38电气机械和器材制造业,4.10369691,2019-07-05,4.06,-1.27,1,没涨停→尾盘卖,平淡期
